Royce_ID_Num,Royce_ID,Tribal_Nation,US_Acquired_Mode,Cession_State,Yr_US_Acquire,Date_US_Acquire,Total_Acres,Total_US_Paid,US_Paid_Per_Acre,Total_Area_Source,Total_US_Paid_Source,Royce_Link,Notes,GIS_Source
273,273,A-pang-asse; Aplache; A-wall-a-che; Co-co-noon; Po-to-yan-ti; Si-yan-te,"Seized by unratified treaty, March 19, 1851",CA,1851,18510319,"103,665",$0.00 ,$0.00 ,Calculated in GIS,California treaties unratified,https://archive.org/stream/annualreportofbu218smit#page/780/mode/2up,,"USFS, “Tribal Lands Ceded to the United States” (Royce attributes); Claudio Saunt, “Invasion of America” (Royce polygons)"
274,274,A-pang-asse; Aplache; A-wall-a-che; Co-co-noon; Po-to-yan-ti; Si-yan-te,"Seized by unratified treaty, March 19, 1851",CA,1851,18510319,"2,535,580",$0.00 ,$0.00 ,Calculated in GIS,California treaties unratified,https://archive.org/stream/annualreportofbu218smit#page/780/mode/2up,,"USFS, “Tribal Lands Ceded to the United States” (Royce attributes); Claudio Saunt, “Invasion of America” (Royce polygons)"
275,275,Cas-son; Cho-e-nem-nee; Cho-ki-men-a; Chook-cha-nee; Chow-chil-lie; How-ech-ee; I-tach-ee; Nook-choo; No-to-no-to; Pas-ke-sa; Pit-cat-chee; Po-ho-nee-chee; Tall-in-chee; Toom-na; Wa-cha-et; We-mal-che,"Seized by unratified treaty, April 29, 1851",CA,1851,18510429,"831,812",$0.00 ,$0.00 ,Calculated in GIS,California treaties unratified,https://archive.org/stream/annualreportofbu218smit#page/782/mode/2up,,"USFS, “Tribal Lands Ceded to the United States” (Royce attributes); Claudio Saunt, “Invasion of America” (Royce polygons)"
276,276,Cah-wia; Choi-nuck; Hol-cu-ma; In-tim-peach; No-to-no-to; Ta-che; To-e-ne-che; To-lum-ne; Tu-huc-mach; We-mil-che; Wic-chum-ne; Yo-kol,"Seized by unratified treaty, May 13, 1851",CA,1851,18510513,"364,741",$0.00 ,$0.00 ,Calculated in GIS,California treaties unratified,https://archive.org/stream/annualreportofbu218smit#page/782/mode/2up,,"USFS, “Tribal Lands Ceded to the United States” (Royce attributes); Claudio Saunt, “Invasion of America” (Royce polygons)"
277,277,Ko-ya-te; New-chow-we; Pal-wis-ha; Po-ken-well; Wack-sa-che; Wo-la-si; Ya-wil-chine,"Seized by unratified treaty, May 30, 1851",CA,1851,18510530,"579,013",$0.00 ,$0.00 ,Calculated in GIS,California treaties unratified,https://archive.org/stream/annualreportofbu218smit#page/782/mode/2up,,"USFS, “Tribal Lands Ceded to the United States” (Royce attributes); Claudio Saunt, “Invasion of America” (Royce polygons)"
278,278,Ko-ya-te; New-chow-we; Pal-wis-ha; Po-ken-well; Wack-sa-che; Wo-la-si; Ya-wil-chine,"Seized by unratified treaty, May 30, 1851",CA,1851,18510530,"238,675",$0.00 ,$0.00 ,Calculated in GIS,California treaties unratified,https://archive.org/stream/annualreportofbu218smit#page/782/mode/2up,,"USFS, “Tribal Lands Ceded to the United States” (Royce attributes); Claudio Saunt, “Invasion of America” (Royce polygons)"
279,279,Ko-ya-te; New-chow-we; Pal-wis-ha; Po-ken-well; Wack-sa-che; Wo-la-si; Ya-wil-chine,"Seized by unratified treaty, May 30, 1851",CA,1851,18510530,"11,092,100",$0.00 ,$0.00 ,Calculated in GIS,California treaties unratified,https://archive.org/stream/annualreportofbu218smit#page/782/mode/2up,,"USFS, “Tribal Lands Ceded to the United States” (Royce attributes); Claudio Saunt, “Invasion of America” (Royce polygons)"
280,280,Chap-pah-sim; Co-to-plan-e-nee; I-o-no-hum-ne; Sage-womnee; Su-ca-ah; We-chil-la,"Seized by unratified treaty, May 28, 1851",CA,1851,18510528,"93,792",$0.00 ,$0.00 ,Calculated in GIS,California treaties unratified,https://archive.org/stream/annualreportofbu218smit#page/782/mode/2up,,"USFS, “Tribal Lands Ceded to the United States” (Royce attributes); Claudio Saunt, “Invasion of America” (Royce polygons)"
281,281,Chap-pah-sim; Co-to-plan-e-nee; I-o-no-hum-ne; Sage-womnee; Su-ca-ah; We-chil-la,"Seized by unratified treaty, May 28, 1851",CA,1851,18510528,"3,675,150",$0.00 ,$0.00 ,Calculated in GIS,California treaties unratified,https://archive.org/stream/annualreportofbu218smit#page/782/mode/2up,,"USFS, “Tribal Lands Ceded to the United States” (Royce attributes); Claudio Saunt, “Invasion of America” (Royce polygons)"
282,282,Chu-nute; Co-ye-tie; Wo-wol; Yo-lum-ne,"Seized by unratified treaty, June 3, 1851",CA,1851,18510603,"412,932",$0.00 ,$0.00 ,Calculated in GIS,California treaties unratified,https://archive.org/stream/annualreportofbu218smit#page/782/mode/2up,,"USFS, “Tribal Lands Ceded to the United States” (Royce attributes); Claudio Saunt, “Invasion of America” (Royce polygons)"
283,283,Chu-nute; Co-ye-tie; Wo-wol; Yo-lum-ne,"Seized by unratified treaty, June 3, 1851",CA,1851,18510603,"613,785",$0.00 ,$0.00 ,Calculated in GIS,California treaties unratified,https://archive.org/stream/annualreportofbu218smit#page/782/mode/2up,,"USFS, “Tribal Lands Ceded to the United States” (Royce attributes); Claudio Saunt, “Invasion of America” (Royce polygons)"
284,284,Chu-nute; Co-ye-tie; Wo-wol; Yo-lum-ne,"Seized by unratified treaty, June 3, 1851",CA,1851,18510603,"6,807,690",$0.00 ,$0.00 ,Calculated in GIS,California treaties unratified,https://archive.org/stream/annualreportofbu218smit#page/782/mode/2up,,"USFS, “Tribal Lands Ceded to the United States” (Royce attributes); Claudio Saunt, “Invasion of America” (Royce polygons)"
285,285,Buena Vista; Car-I-se; Cas-take; Hol-mi-uk; Ho-lo-cla-me; San Im-iri; Se-na-hu-ow; So-ho-nut; Te-jon; To-ci-a; Uva,"Seized by unratified treaty, June 10, 1851",CA,1851,18510610,"798,631",$0.00 ,$0.00 ,Calculated in GIS,California treaties unratified,https://archive.org/stream/annualreportofbu218smit#page/782/mode/2up,,"USFS, “Tribal Lands Ceded to the United States” (Royce attributes); Claudio Saunt, “Invasion of America” (Royce polygons)"
286,286,Buena Vista; Car-I-se; Cas-take; Hol-mi-uk; Ho-lo-cla-me; Se-na-hu-ow; So-ho-nut; Te-jon; To-ci-a; Uva,"Seized by unratified treaty, June 10, 1851",CA,1851,18510610,"9,015,760",$0.00 ,$0.00 ,Calculated in GIS,California treaties unratified,https://archive.org/stream/annualreportofbu218smit#page/782/mode/2up,,"USFS, “Tribal Lands Ceded to the United States” (Royce attributes); Claudio Saunt, “Invasion of America” (Royce polygons)"
287,287,Be-no-pi; Das-pia; Mon-e-da; Nem-shaw; On-o-po-ma; Wai-de-pa-can; Wan-nuck; Ya-cum-na; Ya-ma-do; Yol-la-mer,"Seized by unratified treaty, July 18, 1851",CA,1851,18510718,"127,225",$0.00 ,$0.00 ,Calculated in GIS,California treaties unratified,https://archive.org/stream/annualreportofbu218smit#page/784/mode/2up,,"USFS, “Tribal Lands Ceded to the United States” (Royce attributes); Claudio Saunt, “Invasion of America” (Royce polygons)"
288,288,Be-no-pi; Das-pia; Mon-e-da; Nem-shaw; On-o-po-ma; Wai-de-pa-can; Wan-nuck; Ya-cum-na; Ya-ma-do; Yol-la-mer,"Seized by unratified treaty, July 18, 1851",CA,1851,18510718,"1,675,990",$0.00 ,$0.00 ,Calculated in GIS,California treaties unratified,https://archive.org/stream/annualreportofbu218smit#page/784/mode/2up,,"USFS, “Tribal Lands Ceded to the United States” (Royce attributes); Claudio Saunt, “Invasion of America” (Royce polygons)"
289,289,Sioux (Wahpeton and Sisseton Bands); Sioux (Medewakanton and Wahpekuta),"Ceded by treaty, July 23 and August, 5, 1851",IA; MN; SD,1851,18510723,"23,473,900","$555,000.00 ",$0.02 ,Calculated in GIS,"Lee, ""Federal Disbursements for Indian Title in the Louisiana Territory, 1804-2012"" MEAD, February 2017",https://archive.org/stream/annualreportofbu218smit#page/784/mode/2up,,"USFS, “Tribal Lands Ceded to the United States” (Royce attributes); Claudio Saunt, “Invasion of America” (Royce polygons)"
290,290,Bat-si; Che-no; Es-ki-un; Ho-lo-lu-pi; Mi-chop-da; Sim-sa-wa; Su-nu; To-to; Yut-duc,"Seized by unratified treaty, August 1, 1851",CA,1851,18510801,"84,200",$0.00 ,$0.00 ,Calculated in GIS,California treaties unratified,https://archive.org/stream/annualreportofbu218smit#page/784/mode/2up,,"USFS, “Tribal Lands Ceded to the United States” (Royce attributes); Claudio Saunt, “Invasion of America” (Royce polygons)"
291,291,Bat-si; Che-no; Es-ki-un; Ho-lo-lu-pi; Mi-chop-da; Sim-sa-wa; Su-nu; To-to; Yut-duc,"Seized by unratified treaty, August 1, 1851",CA,1851,18510801,"3,357,870",$0.00 ,$0.00 ,Calculated in GIS,California treaties unratified,https://archive.org/stream/annualreportofbu218smit#page/784/mode/2up,,"USFS, “Tribal Lands Ceded to the United States” (Royce attributes); Claudio Saunt, “Invasion of America” (Royce polygons)"
292,292,Iowa; Medewahkanton; Missouri; Omaha; Oto; Sauk and Fox; Sioux (Sisseton Bands); Wahpekuta; Wahpeton,"Purchased (former ""half breed"" reservation), August 5, 1851",MN,1851,18510805,"960,000","$150,000.00 ",$0.16 ,"Lee, ""Federal Disbursements for Indian Title in the Louisiana Territory, 1804-2012"" MEAD, February 2017.","Lee, ""Federal Disbursements for Indian Title in the Louisiana Territory, 1804-2012"" MEAD, February 2017",https://archive.org/stream/annualreportofbu218smit#page/726/mode/2up/search/292,,"USFS, “Tribal Lands Ceded to the United States” (Royce attributes); Claudio Saunt, “Invasion of America” (Royce polygons)"
293,293,Noe-ma-noe-ma; Noi-me-noi-me; Y-lac-ca,"Seized by unratified treaty, August 16, 1851",CA,1851,18510816,"982,537",$0.00 ,$0.00 ,Calculated in GIS,California treaties unratified,https://archive.org/stream/annualreportofbu218smit#page/784/mode/2up,,"USFS, “Tribal Lands Ceded to the United States” (Royce attributes); Claudio Saunt, “Invasion of America” (Royce polygons)"
294,294,Noe-ma-noe-ma; Noi-me-noi-me; Y-lac-ca,"Seized by unratified treaty, August 16, 1851",CA,1851,18510816,"5,459,410",$0.00 ,$0.00 ,Calculated in GIS,California treaties unratified,https://archive.org/stream/annualreportofbu218smit#page/784/mode/2up,,"USFS, “Tribal Lands Ceded to the United States” (Royce attributes); Claudio Saunt, “Invasion of America” (Royce polygons)"
295,295,Ca-la-na-po; Cha-nel-kai; Che-com; Da-no-ha-bo; Ha-bi-na-po; How-ku-ma; Me-dam-a-rec; Mo-al-kai,"Seized by unratified treaty, August 20, 1851",CA,1851,18510820,"237,151",$0.00 ,$0.00 ,Calculated in GIS,California treaties unratified,https://archive.org/stream/annualreportofbu218smit#page/784/mode/2up,,"USFS, “Tribal Lands Ceded to the United States” (Royce attributes); Claudio Saunt, “Invasion of America” (Royce polygons)"
296,296,Ca-la-na-po; Cha-nel-kai; Che-com; Da-no-ha-bo; Ha-bi-na-po; How-ku-ma; Me-dam-a-rec; Mo-al-kai,"Seized by unratified treaty, August 20, 1851",CA,1851,18510820,"2,195,280",$0.00 ,$0.00 ,Calculated in GIS,California treaties unratified,https://archive.org/stream/annualreportofbu218smit#page/784/mode/2up,,"USFS, “Tribal Lands Ceded to the United States” (Royce attributes); Claudio Saunt, “Invasion of America” (Royce polygons)"
297,297,Mas-su-ta-ka-ya; Po-mo; Sai-nell; Yu-ki-as,"Seized by unratified treaty, August 22, 1851",CA,1851,18510822,"4,648,040",$0.00 ,$0.00 ,Calculated in GIS,California treaties unratified,https://archive.org/stream/annualreportofbu218smit#page/784/mode/2up,,"USFS, “Tribal Lands Ceded to the United States” (Royce attributes); Claudio Saunt, “Invasion of America” (Royce polygons)"
